Fiscal Year,Agency Name,Bureau Name,Account Name,Category,Version,Amount
1989,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal correctional activities,Mandatory,Actual,3249.467593072693
1989,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Criminal justice assistance,Mandatory,Actual,1416.1951674789987
1989,Corps of Engineers--Civil Works,"Total, Transportation",Community development,Discretionary,Actual,2068.5374161362465
1989,Corps of Engineers--Civil Works,"Total, Transportation",Area and regional development,Discretionary,Actual,1060.874591432995
1989,Corps of Engineers--Civil Works,"Total, Transportation",Disaster relief and insurance,Discretionary,Actual,126.58799243075865
1989,Other Defense--Civil Programs,"Total, National Defense",International development and humanitarian assistance,Discretionary,Actual,8891.41870398982
1989,Other Defense--Civil Programs,"Total, National Defense",International security assistance,Discretionary,Actual,2697.210760701626
1989,Other Defense--Civil Programs,"Total, National Defense",Conduct of foreign affairs,Discretionary,Actual,5304.330637098972
1989,Other Defense--Civil Programs,"Total, National Defense",Foreign information and exchange activities,Discretionary,Actual,2031.6413705353073
1989,Other Defense--Civil Programs,"Total, National Defense",International financial programs,Discretionary,Actual,1305.3985276742703
1989,Environmental Protection Agency,"Total, Natural Resources and Environment",Farm income stabilization,Discretionary,Actual,4318.678524374176
1989,Environmental Protection Agency,"Total, Natural Resources and Environment",Agricultural research and services,Discretionary,Actual,587.3214756258234
1989,Executive Office of the President,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,95.50311790476799
1989,Executive Office of the President,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,16.046522336989533
1989,Executive Office of the President,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,4.5184995682901
1989,Executive Office of the President,"Total, General Government",Other interest,Discretionary,Actual,7.93186018995235
1989,General Services Administration,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-341.9627770138467
1989,General Services Administration,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-57.45690256147866
1989,General Services Administration,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-16.179143615490357
1989,General Services Administration,"Total, General Government",Other interest,Discretionary,Actual,-28.40117680918422
1989,International Assistance Programs,"Total, International Affairs",General science and basic research,Discretionary,Actual,878.8150054593667
1989,International Assistance Programs,"Total, International Affairs","Space flight, research, and supporting activities",Discretionary,Actual,3412.184994540633
1989,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology",Energy supply,Discretionary,Actual,5018.218114602587
1989,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology",Energy conservation,Discretionary,Actual,1358.5907578558224
1989,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology",Emergency energy preparedness,Discretionary,Actual,2533.5881700554523
1989,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology","Energy information, policy, and regulation",Discretionary,Actual,2125.6029574861363
1989,National Science Foundation,"Total, General Science, Space, and Technology",Energy supply,Discretionary,Actual,789.3826247689462
1989,National Science Foundation,"Total, General Science, Space, and Technology",Energy conservation,Discretionary,Actual,213.71090573012935
1989,National Science Foundation,"Total, General Science, Space, and Technology",Emergency energy preparedness,Discretionary,Actual,398.54195933456555
1989,National Science Foundation,"Total, General Science, Space, and Technology","Energy information, policy, and regulation",Discretionary,Actual,334.3645101663585
1989,Office of Personnel Management,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,22391.630216494515
1989,Office of Personnel Management,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,3762.262450833038
1989,Office of Personnel Management,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,1059.405951200791
1989,Office of Personnel Management,"Total, General Government",Other interest,Discretionary,Actual,1859.7013814716506
1989,Small Business Administration,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,65.46584695084903
1989,Small Business Administration,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,10.999632247129922
1989,Small Business Administration,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,3.097358575037568
1989,Small Business Administration,"Total, General Government",Other interest,Discretionary,Actual,5.437162226983466
1989,Social Security Administration (On-Budget),"Total, Income Security",Social security,Mandatory,Actual,18709.0
1989,Social Security Administration (Off-Budget),"Total, Income Security",Social security,Mandatory,Actual,227473.0
1989,Other Independent Agencies (On-Budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,23665.518579514566
1989,Other Independent Agencies (On-Budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,3976.3023536183664
1989,Other Independent Agencies (On-Budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,1119.6769051197573
1989,Other Independent Agencies (On-Budget),"Total, General Government",Other interest,Discretionary,Actual,1965.5021617473053
1989,Other Independent Agencies (Off-Budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-238.75779476191997
1989,Other Independent Agencies (Off-Budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-40.116305842473835
1989,Other Independent Agencies (Off-Budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-11.29624892072525
1989,Other Independent Agencies (Off-Budget),"Total, General Government",Other interest,Discretionary,Actual,-19.829650474880875
1989,(On-budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-56086.51654887915
1989,(On-budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-9423.708464711708
1989,(On-budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-2653.5981900163033
1989,(On-budget),"Total, General Government",Other interest,Discretionary,Actual,-4658.176796392823
1989,(Off-budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-12517.069937002334
1989,(Off-budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-2103.1296856512413
1989,(Off-budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-592.2149595471831
1989,(Off-budget),"Total, General Government",Other interest,Discretionary,Actual,-1039.5854177992387
1990,Legislative Branch,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,1711.4948367556913
1990,Legislative Branch,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,299.5120813830481
1990,Legislative Branch,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,103.39797701682426
1990,Legislative Branch,"Total, General Government",Other interest,Discretionary,Actual,116.59510484443592
1990,Judicial Branch,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,257.3841230331584
1990,Judicial Branch,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,23.41185883189602
1990,Judicial Branch,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,852.1916614810206
1990,Judicial Branch,"Total, Administration of Justice",General property and records management,Discretionary,Actual,4.828695884078438
1990,Judicial Branch,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,26.923637656680565
1990,Judicial Branch,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,316.2064183482976
1990,Judicial Branch,"Total, Administration of Justice",Other general government,Discretionary,Actual,112.23059827540216
1990,Judicial Branch,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,52.823006489465605
1990,Department of Agriculture,"Total, Agriculture",Mortgage credit,Discretionary,Actual,29579.602415702062
1990,Department of Agriculture,"Total, Agriculture",Postal service,Discretionary,Actual,16278.397584297933
1990,Department of Commerce,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,2864.5099598591446
1990,Department of Commerce,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,501.2900546321388
1990,Department of Commerce,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,173.05604938629395
1990,Department of Commerce,"Total, General Government",Other interest,Discretionary,Actual,195.1439361224221
1990,Department of Defense--Military Programs,"Total, National Defense",International development and humanitarian assistance,Discretionary,Actual,69746.78630232964
1990,Department of Defense--Military Programs,"Total, National Defense",International security assistance,Discretionary,Actual,109757.94745139254
1990,Department of Defense--Military Programs,"Total, National Defense",Conduct of foreign affairs,Discretionary,Actual,38628.40383604832
1990,Department of Defense--Military Programs,"Total, National Defense",Foreign information and exchange activities,Discretionary,Actual,13979.803293046047
1990,Department of Defense--Military Programs,"Total, National Defense",International financial programs,Discretionary,Actual,57581.059117183366
1990,Department of Education,"Total, Education, Training, Employment, and Social Services",Health care services,Discretionary,Actual,18967.55666476022
1990,Department of Education,"Total, Education, Training, Employment, and Social Services",Health research and training,Discretionary,Actual,3422.369746442745
1990,Department of Education,"Total, Education, Training, Employment, and Social Services",Consumer and occupational health and safety,Discretionary,Actual,582.0735887970329
1990,Department of Energy,"Total, Energy",Water resources,Discretionary,Actual,3117.9878627968333
1990,Department of Energy,"Total, Energy",Conservation and land management,Discretionary,Actual,2855.1445323951916
1990,Department of Energy,"Total, Energy",Recreational resources,Discretionary,Actual,983.3599530929345
1990,Department of Energy,"Total, Energy",Pollution control and abatement,Discretionary,Actual,3652.8846672530044
1990,Department of Energy,"Total, Energy",Other natural resources,Discretionary,Actual,1473.6229844620339
1990,Department of Health and Human Services,"Total, Health",Medicare,Mandatory,Actual,69742.48143872652
1990,Department of Health and Human Services,"Total, Health",General retirement and disability insurance (excluding social security),Mandatory,Actual,3659.8060635518555
1990,Department of Health and Human Services,"Total, Health",Federal employee retirement and disability,Mandatory,Actual,36955.65240901634
1990,Department of Health and Human Services,"Total, Health",Unemployment compensation,Mandatory,Actual,13428.530834194047
1990,Department of Health and Human Services,"Total, Health",Housing assistance,Mandatory,Actual,11308.573242602815
1990,Department of Health and Human Services,"Total, Health",Food and nutrition assistance,Mandatory,Actual,17155.163193389635
1990,Department of Health and Human Services,"Total, Health",Other income security,Mandatory,Actual,23264.79281851874
1990,Department of Homeland Security,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,1128.8310960974306
1990,Department of Homeland Security,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,102.67934927549051
1990,Department of Homeland Security,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,3737.528313627878
1990,Department of Homeland Security,"Total, Administration of Justice",General property and records management,Discretionary,Actual,21.177615788069406
1990,Department of Homeland Security,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,118.08125166681471
1990,Department of Homeland Security,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,1386.8129611521022
1990,Department of Homeland Security,"Total, Administration of Justice",Other general government,Discretionary,Actual,492.2191305893853
1990,Department of Homeland Security,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,231.67028180282637
1990,Department of Housing and Urban Development,"Total, Community and Regional Development","Elementary, secondary, and vocational education",Discretionary,Actual,5381.556380660264
1990,Department of Housing and Urban Development,"Total, Community and Regional Development",Higher education,Discretionary,Actual,6026.713724540587
1990,Department of Housing and Urban Development,"Total, Community and Regional Development",Research and general education aids,Discretionary,Actual,852.9750585196546
1990,Department of Housing and Urban Development,"Total, Community and Regional Development",Training and employment,Discretionary,Actual,3048.8974897086114
1990,Department of Housing and Urban Development,"Total, Community and Regional Development",Other labor services,Discretionary,Actual,439.5100492372253
1990,Department of Housing and Urban Development,"Total, Community and Regional Development",Social services,Discretionary,Actual,4417.347297333656
1990,Department of the Interior,"Total, Natural Resources and Environment",Farm income stabilization,Discretionary,Actual,4771.307037896365
1990,Department of the Interior,"Total, Natural Resources and Environment",Agricultural research and services,Discretionary,Actual,1042.692962103635
1990,Department of Justice,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,920.3906124988886
1990,Department of Justice,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,83.71944172815309
1990,Department of Justice,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,3047.3876789047918
1990,Department of Justice,"Total, Administration of Justice",General property and records management,Discretionary,Actual,17.267134856431156
1990,Department of Justice,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,96.27735798737655
1990,Department of Justice,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,1130.7357098408747
1990,Department of Justice,"Total, Administration of Justice",Other general government,Discretionary,Actual,401.33007378433604
1990,Department of Justice,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,188.89199039914612
1990,Department of Labor,"Total, Education, Training, Employment, and Social Services",Health care services,Discretionary,Actual,21539.554706320734
1990,Department of Labor,"Total, Education, Training, Employment, and Social Services",Health research and training,Discretionary,Actual,3886.442607324216
1990,Department of Labor,"Total, Education, Training, Employment, and Social Services",Consumer and occupational health and safety,Discretionary,Actual,661.0026863550495
1990,Department of State,"Total, International Affairs",General science and basic research,Discretionary,Actual,936.7940666805295
1990,Department of State,"Total, International Affairs","Space flight, research, and supporting activities",Discretionary,Actual,3859.2059333194707
1990,Department of Transportation,"Total, Transportation",Community development,Discretionary,Actual,10611.519343493554
1990,Department of Transportation,"Total, Transportation",Area and regional development,Discretionary,Actual,8723.690973036342
1990,Department of Transportation,"Total, Transportation",Disaster relief and insurance,Discretionary,Actual,6306.789683470106
1990,Department of the Treasury,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,194788.97869781326
1990,Department of the Treasury,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,34088.12646543104
1990,Department of the Treasury,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,11767.95039633659
1990,Department of the Treasury,"Total, General Government",Other interest,Discretionary,Actual,13269.94444041907
1990,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal law enforcement activities,Mandatory,Actual,13769.645557191947
1990,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal litigative and judicial activities,Mandatory,Actual,10176.450859106526
1990,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal correctional activities,Mandatory,Actual,3672.853804614627
1990,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Criminal justice assistance,Mandatory,Actual,1357.0497790868903
1990,Corps of Engineers--Civil Works,"Total, Transportation",Community development,Discretionary,Actual,1375.5826494724502
1990,Corps of Engineers--Civil Works,"Total, Transportation",Area and regional development,Discretionary,Actual,1130.86143024619
1990,Corps of Engineers--Civil Works,"Total, Transportation",Disaster relief and insurance,Discretionary,Actual,817.5559202813599
1990,Other Defense--Civil Programs,"Total, National Defense",International development and humanitarian assistance,Discretionary,Actual,5222.08880714661
1990,Other Defense--Civil Programs,"Total, National Defense",International security assistance,Discretionary,Actual,8217.808723068838
1990,Other Defense--Civil Programs,"Total, National Defense",Conduct of foreign affairs,Discretionary,Actual,2892.189963215973
1990,Other Defense--Civil Programs,"Total, National Defense",Foreign information and exchange activities,Discretionary,Actual,1046.697320021018
1990,Other Defense--Civil Programs,"Total, National Defense",International financial programs,Discretionary,Actual,4311.215186547554
1990,Environmental Protection Agency,"Total, Natural Resources and Environment",Farm income stabilization,Discretionary,Actual,4191.922316748302
1990,Environmental Protection Agency,"Total, Natural Resources and Environment",Agricultural research and services,Discretionary,Actual,916.0776832516971
1990,Executive Office of the President,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,121.20850928166706
1990,Executive Office of the President,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,21.21152346863362
1990,Executive Office of the President,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,7.322671613024757
1990,Executive Office of the President,"Total, General Government",Other interest,Discretionary,Actual,8.25729563667453
1990,General Services Administration,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-130.41421884736332
1990,General Services Administration,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-22.82252525106149
1990,General Services Administration,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-7.8788238874317
1990,General Services Administration,"Total, General Government",Other interest,Discretionary,Actual,-8.884432014143481
1990,International Assistance Programs,"Total, International Affairs",General science and basic research,Discretionary,Actual,1969.8849379635403
1990,International Assistance Programs,"Total, International Affairs","Space flight, research, and supporting activities",Discretionary,Actual,8115.11506203646
1990,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology",Energy supply,Discretionary,Actual,7351.003891050584
1990,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology",Energy conservation,Discretionary,Actual,1357.852439389404
1990,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology",Emergency energy preparedness,Discretionary,Actual,1644.3035019455242
1990,National Aeronautics and Space Administration,"Total, General Science, Space, and Technology","Energy information, policy, and regulation",Discretionary,Actual,2075.8401676144854
1990,National Science Foundation,"Total, General Science, Space, and Technology",Energy supply,Discretionary,Actual,1077.011673151751
1990,National Science Foundation,"Total, General Science, Space, and Technology",Energy conservation,Discretionary,Actual,198.94193355282843
1990,National Science Foundation,"Total, General Science, Space, and Technology",Emergency energy preparedness,Discretionary,Actual,240.91050583657574
1990,National Science Foundation,"Total, General Science, Space, and Technology","Energy information, policy, and regulation",Discretionary,Actual,304.1358874588445
1990,Office of Personnel Management,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,24509.434576202413
1990,Office of Personnel Management,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,4289.157995565667
1990,Office of Personnel Management,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,1480.70908458562
1990,Office of Personnel Management,"Total, General Government",Other interest,Discretionary,Actual,1669.6983436462945
1990,Small Business Administration,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,530.8625849551495
1990,Small Business Administration,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,92.90110278667382
1990,Small Business Administration,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,32.07144782413375
1990,Small Business Administration,"Total, General Government",Other interest,Discretionary,Actual,36.164864434042876
1990,Social Security Administration (On-Budget),"Total, Income Security",Social security,Mandatory,Actual,17276.0
1990,Social Security Administration (Off-Budget),"Total, Income Security",Social security,Mandatory,Actual,244998.0
1990,Other Independent Agencies (On-Budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,52705.755833466166
1990,Other Independent Agencies (On-Budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,9223.522204993697
1990,Other Independent Agencies (On-Budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,3184.157155071221
1990,Other Independent Agencies (On-Budget),"Total, General Government",Other interest,Discretionary,Actual,3590.5648064689044
1990,Other Independent Agencies (Off-Budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,1247.3736461518397
1990,Other Independent Agencies (Off-Budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,218.29074151897635
1990,Other Independent Agencies (Off-Budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,75.35863318214085
1990,Other Independent Agencies (Off-Budget),"Total, General Government",Other interest,Discretionary,Actual,84.97697914704294
1990,(On-budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-59354.57956729027
1990,(On-budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-10387.068242352227
1990,(On-budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-3585.8381352616357
1990,(On-budget),"Total, General Government",Other interest,Discretionary,Actual,-4043.5140550958545
1990,(Off-budget),"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,-16538.05723477328
1990,(Off-budget),"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,-2894.164702131668
1990,(Off-budget),"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,-999.1275609720741
1990,(Off-budget),"Total, General Government",Other interest,Discretionary,Actual,-1126.6505021229716
1991,Legislative Branch,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,1702.3920280344532
1991,Legislative Branch,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,300.7656073157382
1991,Legislative Branch,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,120.61401085033228
1991,Legislative Branch,"Total, General Government",Other interest,Discretionary,Actual,121.22835379947601
1991,Judicial Branch,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,287.30388312187614
1991,Judicial Branch,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,29.175701653210147
1991,Judicial Branch,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,941.6073817762399
1991,Judicial Branch,"Total, Administration of Justice",General property and records management,Discretionary,Actual,90.1375624759706
1991,Judicial Branch,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,21.65144175317171
1991,Judicial Branch,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,322.46828143021906
1991,Judicial Branch,"Total, Administration of Justice",Other general government,Discretionary,Actual,194.40230680507486
1991,Judicial Branch,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,110.25344098423668
1991,Department of Agriculture,"Total, Agriculture",Mortgage credit,Discretionary,Actual,40263.47426981919
1991,Department of Agriculture,"Total, Agriculture",Postal service,Discretionary,Actual,13726.525730180803
1991,Department of Commerce,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,1960.215319585328
1991,Department of Commerce,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,346.315855194291
1991,Department of Commerce,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,138.88072073412425
1991,Department of Commerce,"Total, General Government",Other interest,Discretionary,Actual,139.58810448625633
1991,Department of Defense--Military Programs,"Total, National Defense",International development and humanitarian assistance,Discretionary,Actual,58169.73858186059
1991,Department of Defense--Military Programs,"Total, National Defense",International security assistance,Discretionary,Actual,111145.95255584843
1991,Department of Defense--Military Programs,"Total, National Defense",Conduct of foreign affairs,Discretionary,Actual,37101.45357127423
1991,Department of Defense--Military Programs,"Total, National Defense",Foreign information and exchange activities,Discretionary,Actual,14166.2152702761
1991,Department of Defense--Military Programs,"Total, National Defense",International financial programs,Discretionary,Actual,41276.64002074059
1991,Department of Education,"Total, Education, Training, Employment, and Social Services",Health care services,Discretionary,Actual,21506.810874638028
1991,Department of Education,"Total, Education, Training, Employment, and Social Services",Health research and training,Discretionary,Actual,3136.6608001349473
1991,Department of Education,"Total, Education, Training, Employment, and Social Services",Consumer and occupational health and safety,Discretionary,Actual,552.5283252270232
1991,Department of Energy,"Total, Energy",Water resources,Discretionary,Actual,2936.249770827716
1991,Department of Energy,"Total, Energy",Conservation and land management,Discretionary,Actual,3124.5571313022383
1991,Department of Energy,"Total, Energy",Recreational resources,Discretionary,Actual,1029.6377460231865
1991,Department of Energy,"Total, Energy",Pollution control and abatement,Discretionary,Actual,3936.9688864923164
1991,Department of Energy,"Total, Energy",Other natural resources,Discretionary,Actual,1444.5864653545427
1991,Department of Health and Human Services,"Total, Health",Medicare,Mandatory,Actual,74704.22719759199
1991,Department of Health and Human Services,"Total, Health",General retirement and disability insurance (excluding social security),Mandatory,Actual,3535.4190727453697
1991,Department of Health and Human Services,"Total, Health",Federal employee retirement and disability,Mandatory,Actual,40112.88624781648
1991,Department of Health and Human Services,"Total, Health",Unemployment compensation,Mandatory,Actual,19363.658274264097
1991,Department of Health and Human Services,"Total, Health",Housing assistance,Mandatory,Actual,12295.679921754301
1991,Department of Health and Human Services,"Total, Health",Food and nutrition assistance,Mandatory,Actual,20482.552278075324
1991,Department of Health and Human Services,"Total, Health",Other income security,Mandatory,Actual,27600.57700775238
1991,Department of Homeland Security,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,957.2959630911186
1991,Department of Homeland Security,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,97.21337946943432
1991,Department of Homeland Security,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,3137.433910034602
1991,Department of Homeland Security,"Total, Administration of Justice",General property and records management,Discretionary,Actual,300.33817762399013
1991,Department of Homeland Security,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,72.14256055363272
1991,Department of Homeland Security,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,1074.463667820069
1991,Department of Homeland Security,"Total, Administration of Justice",Other general government,Discretionary,Actual,647.7480968858127
1991,Department of Homeland Security,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,367.3642445213374
1991,Department of Housing and Urban Development,"Total, Community and Regional Development","Elementary, secondary, and vocational education",Discretionary,Actual,6270.43387217954
1991,Department of Housing and Urban Development,"Total, Community and Regional Development",Higher education,Discretionary,Actual,6611.745740529798
1991,Department of Housing and Urban Development,"Total, Community and Regional Development",Research and general education aids,Discretionary,Actual,978.7214318605929
1991,Department of Housing and Urban Development,"Total, Community and Regional Development",Training and employment,Discretionary,Actual,3271.9622403722638
1991,Department of Housing and Urban Development,"Total, Community and Regional Development",Other labor services,Discretionary,Actual,434.4971765105059
1991,Department of Housing and Urban Development,"Total, Community and Regional Development",Social services,Discretionary,Actual,5183.639538547296
1991,Department of the Interior,"Total, Natural Resources and Environment",Farm income stabilization,Discretionary,Actual,5206.430605938465
1991,Department of the Interior,"Total, Natural Resources and Environment",Agricultural research and services,Discretionary,Actual,875.5693940615344
1991,Department of Justice,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,1103.4655901576314
1991,Department of Justice,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,112.0569011918487
1991,Department of Justice,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,3616.489042675894
1991,Department of Justice,"Total, Administration of Justice",General property and records management,Discretionary,Actual,346.1968473663968
1991,Department of Justice,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,83.15801614763495
1991,Department of Justice,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,1238.5236447520183
1991,Department of Justice,"Total, Administration of Justice",Other general government,Discretionary,Actual,746.6528258362164
1991,Department of Justice,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,423.4571318723562
1991,Department of Labor,"Total, Education, Training, Employment, and Social Services",Health care services,Discretionary,Actual,29696.060895723804
1991,Department of Labor,"Total, Education, Training, Employment, and Social Services",Health research and training,Discretionary,Actual,4331.021957322385
1991,Department of Labor,"Total, Education, Training, Employment, and Social Services",Consumer and occupational health and safety,Discretionary,Actual,762.9171469538077
1991,Department of State,"Total, International Affairs",General science and basic research,Discretionary,Actual,1003.3719008264463
1991,Department of State,"Total, International Affairs","Space flight, research, and supporting activities",Discretionary,Actual,4145.628099173554
1991,Department of Transportation,"Total, Transportation",Community development,Discretionary,Actual,14170.439207048457
1991,Department of Transportation,"Total, Transportation",Area and regional development,Discretionary,Actual,10978.790748898678
1991,Department of Transportation,"Total, Transportation",Disaster relief and insurance,Discretionary,Actual,2087.7700440528624
1991,Department of the Treasury,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,208234.77294005748
1991,Department of the Treasury,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,36789.3275556996
1991,Department of the Treasury,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,14753.37686573111
1991,Department of the Treasury,"Total, General Government",Other interest,Discretionary,Actual,14828.522638511764
1991,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal law enforcement activities,Mandatory,Actual,14667.538399935933
1991,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal litigative and judicial activities,Mandatory,Actual,10870.764154720908
1991,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal correctional activities,Mandatory,Actual,3996.6044686473906
1991,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Criminal justice assistance,Mandatory,Actual,1656.0929766957636
1991,Corps of Engineers--Civil Works,"Total, Transportation",Community development,Discretionary,Actual,1738.2030837004404
1991,Corps of Engineers--Civil Works,"Total, Transportation",Area and regional development,Discretionary,Actual,1346.7026431718061
1991,Corps of Engineers--Civil Works,"Total, Transportation",Disaster relief and insurance,Discretionary,Actual,256.0942731277532
1991,Other Defense--Civil Programs,"Total, National Defense",International development and humanitarian assistance,Discretionary,Actual,5162.103357386682
